,target,lien,source
0,adrbad,parcelle_id,parcelle_cadastrale
1,adrbad,voie_id,voie
2,adrbad,adresse_id,adresse
3,adrsimple,parcelle_id,parcelle_cadastrale
4,adrsimple,adresse_id,adresse
5,affaireperilsecurite,informationperil_id,infoperilsecu
6,affaire_statut,affaire_id,affaire
7,affhygiene,affaire_id,affaire
8,affravalement,affaire_id,affaire
9,affravalement,immeuble_id,immeuble
10,arretehyautre,emetteur_id,typeemetteurarretehy
11,arretehyautre,type_id,typearretehygiene
12,arretehyautre,affaire_id,affhygiene
13,arretehyautre,typedelai_id,typedelai
14,arrete_ravalement,cdd_id,cdd
15,arrete_ravalement,affaire_id,affravalement
16,arrete_ravalement,type_delai,typedelai
17,arrete_ravalement,adresse_id,adresse
18,arrete_ravalement_facade,facadesconcernees_id,facade
19,arrete_ravalement_facade,arrete_ravalement_id,arrete_ravalement
20,arrete_ravalement_incitation_ravalement,arrete_ravalement_id,arrete_ravalement
21,arrete_ravalement_incitation_ravalement,incitationsreferencees_id,incitation_ravalement
22,arrondissement,subdivision_id,subdivision
23,avispassage_tiers,tiers_id,tiers
24,avispassage_tiers,avispassage_id,avis_passage
25,avispassage_tiers_ref,tiers_ref_id,tiersreference
26,avispassage_tiers_ref,avispassage_id,avis_passage
27,affaire,id_charge_affaire_doublon,utilisateur
28,affaire,procedure_id,procedure
29,affaire,id_charge_affaire,utilisateur
30,batiment,hautfacade_id,hautfacade
31,batiment,immeuble_id,immeuble
32,batiment,modentbat_id,modentbat
33,batiment_adresse,batiment_id,batiment
34,batiment_adresse,adresse_id,adresse
35,blocnotes,affaire_id,affaire
36,certificatnotaire,responsable_id,utilisateur
37,certificatnotaire,immeuble_id,immeuble
38,certificatnotaire,tiersdemandeur_id,tierssansaffaire
39,certifnotaire_arretehy_associe,certifnotaire_id,certificatnotaire
40,certifnotaire_arretehy_piecesjointes,certifnotaire_id,certificatnotaire
41,certifnotaire_arreterav_associe,arreterav_id,arrete_ravalement
42,certifnotaire_arreterav_associe,certifnotaire_id,certificatnotaire
43,certifnotaire_arreterav_piecesjointes,arreterav_id,arrete_ravalement
44,certifnotaire_arreterav_piecesjointes,certifnotaire_id,certificatnotaire
45,classement,compte_rendu_id,cr_visite
46,contentieux,affaire_id,affaire
47,cr_visite,inspecteur_id,utilisateur
48,cr_visite,affaire_id,affhygiene
49,document,typedocument_id,typedocument
50,documenttemp,typedocument_id,typedocument
51,eot,affaire_id,affaire
52,facade,affectfacade_id,affectfacade
53,facade,materfacade_id,materfacade
54,facade,batiment_id,batiment
55,facade,hautfacade_id,hautfacade
56,facade,adresse_id,adresse
57,facade,typefacade_id,typefacade
58,ficherecolem,tournee_id,tournee
59,ficherecolem,facade_id,facade
60,ilot,nqu,quartier_admin
61,immeuble,parcelle_id,parcelle_cadastrale
62,immeuble,tournee_id,tournee
63,immeuble,adresseprincipale_id,adresse
64,immeuble_affaireperilsecu,affaireperilsecu_id,affaireperilsecurite
65,immeuble_affaireperilsecu,immeuble_id,immeuble
66,incitation_ravalement,affaire_id,affravalement
67,incitation_ravalement,type_delai,typedelai
68,incitation_ravalement,adresse_id,adresse
69,incitation_ravalement_facade,incitation_ravalement_id,incitation_ravalement
70,incitation_ravalement_facade,facadesconcernees_id,facade
71,infraction,infractiontype_id,infractiontype
72,infraction,affaire_id,affhygiene
73,infractionhisto,infractiontype_id,infractiontype
74,infractionhisto,compterenduvisite_id,cr_visite
75,infractionhisto,infraction_id,infraction
76,localhabite,batiment_id,batiment
77,mainlevee,emetteur_id,typeemetteurarretehy
78,mainlevee,type_id,typearretehygiene
79,mainlevee,affaire_id,affhygiene
80,mise_en_demeure,compte_rendu_id,cr_visite
81,mise_en_demeure,type_delai,typedelai
82,operation,type_id,typeoperation
83,operation_immeuble,immeuble_id,immeuble
84,operation_immeuble,operation_id,operation
85,parcelle_cadastrale,ilot_id,ilot
86,prescription,etat_id,etatprescription
87,prescription,affaire_id,affhygiene
88,prescription,prescriptiontype_id,prescriptiontype
89,prescriptionhisto,etat_id,etatprescription
90,prescriptionhisto,compterenduvisite_id,cr_visite
91,prescriptionhisto,prescriptiontype_id,prescriptiontype
92,prescriptionhisto,prescription_id,prescription
93,prescriptiontype,infractiontype_id,infractiontype
94,process_instance,affaire_id,affaire
95,pvcsp,compte_rendu_id,cr_visite
96,pvrsd,mise_en_demeure_id,mise_en_demeure
97,pvrsd,compte_rendu_id,cr_visite
98,pv_ravalement,affaire_id,affravalement
99,pv_ravalement_facade,pv_ravalement_id,pv_ravalement
100,pv_ravalement_facade,facadesconcernees_id,facade
101,quartier_admin,inspecteur_salubrite_id,utilisateur
102,quartier_admin,nsq_ca,arrondissement
103,quartier_admin,controleur_ravalement_id,utilisateur
104,rapport,compte_rendu_id,cr_visite
105,rapport,type_delai,typedelai
106,rapport,type_rapport_id,type_rapport
107,recouvrement,emetteur_id,typeemetteurarretehy
108,recouvrement,type_id,typearretehygiene
109,recouvrement,affaire_id,affhygiene
110,relationtiers,typerelationtiers_id,typerelationtiers
111,relationtiers,tiersparent_id,tierscomplexe
112,relationtiers,tiersparent_id,tiers
113,relationtiers_tiers,tiers_id,tiers
114,relationtiers_tiers,relationtiers_id,relationtiers
115,responsable_affaire_historique,responsable_id,utilisateur
116,responsable_affaire_historique,utilisateur_modificateur,utilisateur
117,responsable_affaire_historique,affaire_id,affaire
118,signalement_affaire,affaire_id,affaire
119,signalement_affaire,signalement_id,signalement
120,signataire,type_id,type_utilisateur
121,subdivision,responsable_subdivision_id,utilisateur
122,signalement,etat_id,etatsignalement
123,signalement,signalant_id,tiersreference
124,signalement,plaignant_civilite_id,civilite
125,signalement,adresse_id,adrbad
126,signalement,signalant_civilite_id,civilite
127,tiers,civilite_id,civilite
128,tiers,adressesociete_id,adrsimple
129,tiers,affaire_id,affaire
130,tiers,adresse_id,adrsimple
131,tiers,adressepostale_id,adrsimple
132,tierscomplexe,type_tiers_id,typetiers
133,tierscomplexe,tiers_id,tiers
134,tierssimple,type_tiers_id,typetiers
135,tierssimple,tiers_id,tiers
136,tiers_envoi_acte,type_envoi_id,type_envoi
137,tiers_envoi_acte,tiers_id,tiers
138,tiers_ref_envoi_acte,type_envoi_id,type_envoi
139,tiers_ref_envoi_acte,tiers_id,tiersreference
140,tournee,etatourn_id,etatourn
141,tournee,ctrlrava_id,utilisateur
142,typerelationtiers,typetiers_id,typetiers
143,typetiers_typerelationtiers,typerelationtiers_id,typerelationtiers
144,typetiers_typerelationtiers,typetiers_id,typetiers
145,tierssansaffaire,civilite_id,civilite
146,tierssansaffaire,adressesociete_id,adrsimple
147,tierssansaffaire,adresseautre_id,adrsimple
148,tierssansaffaire,adressepostale_id,adrsimple
149,utilisateur,type_id,type_utilisateur
150,utilisateur_role,utilisateur_id,utilisateur
151,utilisateur_role,role_id,role
152,voieprivee,voie_id,voie
153,voieprivee,statut,statutvoieprivee
154,voieprivee_parcelle,parcelle_id,parcelle_cadastrale
155,voieprivee_parcelle,voieprivee_id,voieprivee
156,avis_passage,affaire_id,affaire
157,extensiondocument,typedocument_id,typedocument
158,marche_travaux,eot_id,eot
159,marche_travaux,entreprise_id,tiers
160,tiersreference,civilite_id,civilite
161,tiersreference,arrondissement_id,arrondissement
162,tiersreference,adressesociete_id,adresse
163,tiersreference,adressepersphys_id,adresse
164,tiersreference,typetiers_id,typetiersreference
165,tiersreference,adressetiers_id,adresse
